Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://branches.bargainbooze.co.uk/scarborough/117-falsgrave-road.html,bargain_booze_gb,Scarborough,,North Yorkshire,,,GB,+44 1723 376664,https://branches.bargainbooze.co.uk/scarborough/117-falsgrave-road.html,,Bargain Booze,Q16971315
42309947,moneygram,POST OFFICE - Falsgrave Road,,SCARBOROUGH,,,GB,+44 845 722 3344,,Mo-Su 07:30-22:00,MoneyGram,Q1944412
5935,spar_gb,SPAR Falsgrave Road,,Scarborough,,,GB,,https://www.spar.co.uk/store-locator/hal10939-spar-falsgrave-road/,,SPAR,Q610492
,visa,,,SCARBOROUGH,,,GB,,,,,
,visa,,,SCARBOROUGH,,,GB,,,,,
