Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
7139,carrefour_fr,Carrefour Contact,,Mesnil En Ouche,,,FR,+33 2 32 44 33 13,https://www.carrefour.fr/magasin/contact-la-barre-en-ouche,Mo-Sa 08:00-20:00; Su 08:30-12:45,Carrefour Contact,Q2940188
https://www.credit-agricole.fr/particulier/agence/normandie-seine/la-barre-en-ouche-2391.html,credit_agricole,Crédit Agricole,,La Barre-en-Ouche,,,FR,+33 9 69 39 31 45,https://www.credit-agricole.fr/particulier/agence/normandie-seine/la-barre-en-ouche-2391.html,"We 09:30-12:30,14:00-18:00; Th 09:30-12:30,14:30-18:00; Sa 09:30-13:00,14:00-16:00",Credit Agricole,Q590952
NF016753,totalenergies,GARAGE DANIEL,,LA BARRE EN OUCHE,,,FR,+33 2 32 46 38 51,https://store.totalenergies.fr/en_EN/NF016753,,Elan,Q57980752
NF980951,totalenergies,PETROLIER SANS-MARQUE,,LA VIEILLE-LYRE,,,FR,,https://store.totalenergies.fr/en_EN/NF980951,,,
