Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
2448,currys,Bangor (Northern Ireland),,West Circular Road,,,GB,,https://www.currys.co.uk/store-finder/bangor-northern-ireland-2448.html,Mo-Su 10:00-18:00,currys,Q3246464
A459,home_bargains_gb,Home Bargains,"Unit 3 & 4, Clandeboye Retail Park, West Circular Road, Bangor, BT19 1AR",,,,GB,+44 28 9146 7249,"https://storelocator.home.bargains/store/A459/Clandeboye+Retail+Park,+Bangor,+County+Down",Mo-Fr 08:00-21:00; Sa 08:00-18:00; Su 13:00-18:00,Home Bargains,Q5888229
