Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
RED0012011,australia_post_au,,,WEST BURLEIGH,QLD,,AU,,,,Australia Post,Q1142936
6101,coles_au,Burleigh Barn,,West Burleigh,QLD,,AU,+61 7 3726 9612,,,Liquorland,Q2283837
52,drummond_golf_au,West Burleigh Drummond Golf,,West Burleigh,QLD,,AU,+61 7 5576 0621,https://www.drummondgolf.com.au/storelocator/storedetail?id=52,,Drummond Golf,Q124065894
888,gloria_jeans_coffees_au,Gloria Jean’s Coffees  Greenbank,"Shop 8, Greenbank Shopping Centre",GREENBANK,QLD,,AU,+61 7 3297 7089,,,Gloria Jean's Coffees,Q2666365
,visa,,,BURLEIGH HEADS,QLD,,AU,,,,,
,visa,,,GUMDALE,QLD,,AU,,,,,
,visa,,,GUMDALE,QLD,,AU,,,,,
