Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
PL001221,aldi_nord_pl,ALDI,,Szczecin,Zachodniopomorskie,,PL,+48 800 118 118,,Mo-Sa 07:00-22:00,ALDI,Q41171373
SZC136M,paczkomat_inpost_pl,Market Aldi,,Szczecin,zachodniopomorskie,,PL,,https://inpost.pl/paczkomat-szczecin-szc136m-bronislawa-sobola-paczkomaty-zachodniopomorskie,24/7,Paczkomat,Q110970254
SZC21N,paczkomat_inpost_pl,Przy tylnej ścianie Galerii Północ,,Szczecin,zachodniopomorskie,,PL,,https://inpost.pl/paczkomat-szczecin-szc21n-policka-paczkomaty-zachodniopomorskie,24/7,Paczkomat,Q110970254
905316,poczta_polska_pl,AP Szczecin,,Szczecin,ZACHODNIOPOMORSKIE,,PL,+48 91 831 00 63,,,Poczta Polska,Q168833
,visa,,,SZCZECIN,ZACHODNIOPOMORSKIE,,PL,,,,,
