Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
fe67dcbf2fa16e4e8b4de9cd5b104e56,western_union,SRNP FE ECONOMICAS CUENCA RAFAEL ESTRELL,,Cuenca,AZUAY,,EC,+593 4-371-0050,https://location.westernunion.com/ec/azuay/cuenca/fe67dcbf2fa16e4e8b4de9cd5b104e56,Mo-Fr 08:00-21:00; Sa-Su 08:00-20:00,Western Union,Q861042
37bdbdfe5c3a7f10997d97bb48eea4aa,western_union,CORP LEON,,Cuenca,AZUAY,,EC,+593 96 279 3963,https://location.westernunion.com/ec/azuay/cuenca/37bdbdfe5c3a7f10997d97bb48eea4aa,Mo-Sa 07:00-22:00; Su 09:00-18:00,Western Union,Q861042
