Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
RED0004209,australia_post_au,,,ABERDEEN,NSW,,AU,,,,Australia Post,Q1142936
251184_PO,australia_post_au,ABERDEEN LPO,,ABERDEEN,NSW,,AU,+61 131318,,,Australia Post,Q1142936
21950158,bottlemart_au,Commercial Hotel Aberdeen,,,NSW,,AU,+61 2 6543 7196,,,Bottlemart,Q102863175
37044,cellarbrations_au,CELLARBRATIONS AT ABERDEEN CELLARS,,ABERDEEN,NSW,,AU,+61 2 6443 7908,,Mo-Th 09:00-19:30; Fr-Sa 09:00-20:00; Su 10:00-17:00,Cellarbrations,Q109807592
