Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
336,cex,Evesham,,Evesham,Worcestershire,,GB,,https://uk.webuy.com/site/storeDetail/?branchId=336,Mo-Fr 09:30-18:00; Sa 09:00-18:00; Su 10:00-16:00,CeX,Q5055676
374_O,specsavers,Evesham,,Evesham,Worcestershire,,GB,+44 1386 423301,https://www.specsavers.co.uk/stores/evesham,,Specsavers,Q2000610
374_A,specsavers,Evesham,,Evesham,Worcestershire,,GB,+44 1386 423301,https://www.specsavers.co.uk/stores/evesham,,Specsavers,Q2000610
